epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9907,1.47635,3.27367,1.53771,0.00457,0.70779,0.07327,0.03844,1.44029,4.30919,1.40014,0.000530409,0.000530409,0.000530409
2,64.6896,1.43762,2.61731,1.48618,0.00411,0.56638,0.07279,0.03981,1.54425,4.01458,1.49485,0.00107532,0.00107532,0.00107532
3,96.0556,1.47395,2.41448,1.56353,0.13981,0.05545,0.06649,0.02987,1.7071,4.12668,1.66015,0.00160924,0.00160924,0.00160924
4,127.35,1.54234,2.38551,1.60067,0.18311,0.16071,0.12401,0.08709,1.70233,4.10306,1.73104,0.00161749,0.00161749,0.00161749
5,158.854,1.53083,2.21271,1.54974,0.37152,0.4856,0.35288,0.19095,1.84885,3.14534,1.80832,0.00160099,0.00160099,0.00160099
6,190.206,1.51396,2.10747,1.5741,0.46216,0.42821,0.40066,0.2538,1.75954,4.62901,1.77253,0.00158448,0.00158448,0.00158448
7,221.327,1.45785,1.93644,1.49604,0.46379,0.48088,0.40111,0.26975,1.60254,4.02001,1.69662,0.00156798,0.00156798,0.00156798
8,252.718,1.43367,1.89218,1.54271,0.47861,0.52056,0.44188,0.28949,1.63596,8.17718,1.59687,0.00155148,0.00155148,0.00155148
9,285.384,1.42706,1.81409,1.51402,0.6524,0.49964,0.53223,0.3373,1.56671,2.28264,1.61624,0.00153497,0.00153497,0.00153497
10,317.669,1.34183,1.70569,1.46839,0.62336,0.4926,0.53797,0.33988,1.50316,2.19125,1.44551,0.00151847,0.00151847,0.00151847
11,349.462,1.35913,1.65513,1.47179,0.65936,0.48142,0.5443,0.35338,1.50763,2.19904,1.48085,0.00150197,0.00150197,0.00150197
12,380.626,1.35489,1.67428,1.49063,0.65698,0.53803,0.54888,0.33651,1.55968,2.01542,1.55419,0.00148546,0.00148546,0.00148546
13,411.978,1.2442,1.52355,1.41262,0.7597,0.54672,0.62794,0.40649,1.38813,1.97224,1.41268,0.00146896,0.00146896,0.00146896
14,443.308,1.31988,1.60051,1.45767,0.66186,0.51945,0.58214,0.38465,1.42766,2.10958,1.48794,0.00145246,0.00145246,0.00145246
15,474.387,1.35636,1.64426,1.49554,0.69453,0.57299,0.63864,0.43317,1.21567,1.73696,1.34427,0.00143595,0.00143595,0.00143595
16,506.042,1.20003,1.4643,1.36262,0.60699,0.6599,0.67748,0.44533,1.37193,1.68226,1.38528,0.00141945,0.00141945,0.00141945
17,537.983,1.23985,1.54887,1.40129,0.67083,0.62605,0.65316,0.39723,1.36262,1.99531,1.40321,0.00140295,0.00140295,0.00140295
18,570.331,1.25313,1.48226,1.42435,0.60496,0.65021,0.64834,0.44288,1.31071,1.59397,1.40424,0.00138644,0.00138644,0.00138644
19,604.355,1.19197,1.40505,1.36971,0.72368,0.55014,0.64119,0.42706,1.38498,1.59622,1.41793,0.00136994,0.00136994,0.00136994
20,635.242,1.18542,1.38996,1.36097,0.73852,0.6369,0.67534,0.46356,1.24932,1.51865,1.33893,0.00135344,0.00135344,0.00135344
21,666.347,1.15991,1.30475,1.3343,0.67527,0.63278,0.66127,0.41801,1.36229,1.68974,1.40683,0.00133693,0.00133693,0.00133693
22,697.959,1.21746,1.39331,1.39351,0.7397,0.62804,0.67807,0.44013,1.33151,1.54755,1.35704,0.00132043,0.00132043,0.00132043
23,729.985,1.184,1.3624,1.3679,0.68009,0.6562,0.68659,0.44007,1.29996,1.53275,1.35648,0.00130393,0.00130393,0.00130393
24,764.133,1.18263,1.31862,1.38507,0.71693,0.68199,0.698,0.46599,1.32076,1.42299,1.36879,0.00128742,0.00128742,0.00128742
25,796.338,1.13736,1.30345,1.33583,0.6696,0.65886,0.6834,0.45618,1.2379,1.45069,1.31688,0.00127092,0.00127092,0.00127092
26,827.936,1.11278,1.25661,1.34455,0.6576,0.6131,0.66412,0.44623,1.3091,1.53429,1.40944,0.00125442,0.00125442,0.00125442
27,858.984,1.15967,1.32613,1.40112,0.74614,0.62969,0.66732,0.45724,1.32124,1.62747,1.37605,0.00123791,0.00123791,0.00123791
28,889.923,1.11129,1.22013,1.3188,0.61791,0.66414,0.64171,0.43102,1.24103,1.6188,1.31705,0.00122141,0.00122141,0.00122141
29,920.486,1.1222,1.28365,1.33919,0.7057,0.6596,0.67798,0.44989,1.22447,1.4577,1.32367,0.00120491,0.00120491,0.00120491
30,950.861,1.11803,1.22176,1.31429,0.69338,0.68354,0.68448,0.43601,1.26916,1.54383,1.36016,0.0011884,0.0011884,0.0011884
31,981.412,1.11022,1.23092,1.3215,0.77259,0.59668,0.66818,0.45333,1.16858,1.39747,1.29603,0.0011719,0.0011719,0.0011719
32,1011.89,1.06795,1.19421,1.29533,0.71658,0.62408,0.66695,0.44178,1.21716,1.48001,1.30262,0.0011554,0.0011554,0.0011554
33,1042.47,1.12824,1.22805,1.32555,0.78466,0.66046,0.71621,0.47316,1.21725,1.37678,1.31736,0.00113889,0.00113889,0.00113889
34,1072.99,1.11108,1.3179,1.33293,0.79992,0.62948,0.70191,0.45832,1.27077,1.46676,1.36183,0.00112239,0.00112239,0.00112239
35,1103.51,1.09651,1.17859,1.28066,0.78203,0.61255,0.69531,0.44893,1.2665,1.4184,1.38715,0.00110589,0.00110589,0.00110589
36,1134.07,1.14297,1.23168,1.34547,0.76613,0.60119,0.66636,0.43702,1.27397,1.32415,1.35854,0.00108938,0.00108938,0.00108938
37,1164.88,1.08188,1.17503,1.28488,0.74214,0.60804,0.66115,0.41805,1.34887,1.47563,1.36429,0.00107288,0.00107288,0.00107288
38,1195.41,1.10173,1.1647,1.30214,0.72013,0.66161,0.69237,0.46505,1.25464,1.35198,1.36247,0.00105638,0.00105638,0.00105638
39,1225.76,1.09753,1.15237,1.31658,0.65048,0.62897,0.66858,0.44425,1.26226,1.40537,1.36856,0.00103987,0.00103987,0.00103987
40,1257.52,1.02853,1.09073,1.26038,0.74366,0.65749,0.69034,0.47672,1.18305,1.30452,1.29771,0.00102337,0.00102337,0.00102337
41,1290.47,1.08743,1.14925,1.3326,0.76081,0.65345,0.67496,0.47153,1.31452,1.4015,1.37516,0.00100687,0.00100687,0.00100687
42,1320.98,1.0589,1.13605,1.29184,0.76319,0.63227,0.69656,0.47241,1.18508,1.30352,1.28219,0.000990365,0.000990365,0.000990365
43,1351.51,1.05098,1.10325,1.27615,0.74748,0.6199,0.65366,0.45627,1.27732,1.38196,1.35465,0.000973861,0.000973861,0.000973861
44,1382.04,0.98855,1.05767,1.26136,0.74247,0.67321,0.69705,0.48738,1.22231,1.2834,1.36104,0.000957358,0.000957358,0.000957358
45,1412.67,1.06037,1.08695,1.26999,0.73445,0.68975,0.69074,0.47678,1.20257,1.26528,1.3408,0.000940855,0.000940855,0.000940855
46,1443.27,1.00974,1.0714,1.25673,0.71488,0.69314,0.71234,0.4627,1.24974,1.30224,1.34805,0.000924352,0.000924352,0.000924352
47,1473.87,1.0075,1.06934,1.25301,0.75794,0.67154,0.71092,0.48607,1.19709,1.24395,1.30823,0.000907848,0.000907848,0.000907848
48,1504.53,1.02779,1.07873,1.26274,0.70673,0.67229,0.69961,0.47551,1.2211,1.36725,1.35017,0.000891345,0.000891345,0.000891345
49,1536.86,0.96505,1.0533,1.23096,0.76623,0.58983,0.68836,0.47112,1.23477,1.38441,1.36651,0.000874842,0.000874842,0.000874842
50,1567.58,1.01345,1.06975,1.24985,0.68925,0.67496,0.68597,0.46426,1.2339,1.37815,1.35745,0.000858338,0.000858338,0.000858338
51,1598.01,1.03535,1.06239,1.2748,0.75877,0.6636,0.7186,0.49542,1.17386,1.32318,1.30312,0.000841835,0.000841835,0.000841835
52,1628.42,0.99832,1.0232,1.23142,0.74566,0.70377,0.68074,0.46931,1.25621,1.47088,1.3339,0.000825332,0.000825332,0.000825332
53,1662.97,0.9863,1.04473,1.22245,0.79218,0.65801,0.7031,0.49922,1.18157,1.25424,1.33742,0.000808828,0.000808828,0.000808828
54,1698.25,0.96955,0.98307,1.21604,0.71975,0.71645,0.70638,0.49763,1.17963,1.24635,1.31459,0.000792325,0.000792325,0.000792325
55,1729.85,0.98678,1.00502,1.2314,0.82093,0.63185,0.70458,0.47166,1.23508,1.32316,1.37489,0.000775822,0.000775822,0.000775822
56,1760.97,0.9509,1.00208,1.21221,0.78977,0.60465,0.68102,0.45896,1.26221,1.32488,1.40196,0.000759318,0.000759318,0.000759318
57,1791.94,0.92804,0.97016,1.20098,0.77183,0.6057,0.67892,0.45021,1.18653,1.26168,1.30923,0.000742815,0.000742815,0.000742815
58,1822.74,0.97716,1.01707,1.24356,0.71472,0.65224,0.68368,0.44824,1.29209,1.40845,1.4035,0.000726312,0.000726312,0.000726312
59,1853.11,0.94338,0.99558,1.21425,0.75637,0.64909,0.69076,0.47688,1.2094,1.4736,1.30374,0.000709809,0.000709809,0.000709809
60,1883.53,0.93432,1.05912,1.2165,0.7464,0.60859,0.65349,0.45401,1.2333,1.48978,1.2907,0.000693305,0.000693305,0.000693305
61,1914.03,0.92503,0.97346,1.20124,0.73094,0.65929,0.69872,0.46602,1.23681,1.23776,1.38624,0.000676802,0.000676802,0.000676802
62,1944.37,0.97711,1.02254,1.24978,0.77893,0.64376,0.70196,0.467,1.21411,1.23002,1.39409,0.000660299,0.000660299,0.000660299
63,1974.72,0.98991,1.01822,1.247,0.65816,0.68148,0.69849,0.47418,1.15272,1.22563,1.31153,0.000643795,0.000643795,0.000643795
64,2004.96,0.94594,0.96865,1.21537,0.72681,0.67288,0.6983,0.48025,1.15746,1.24332,1.31048,0.000627292,0.000627292,0.000627292
65,2035.26,0.91198,0.94723,1.19969,0.79254,0.6652,0.70564,0.48421,1.18274,1.2895,1.30936,0.000610789,0.000610789,0.000610789
66,2065.51,0.92904,0.96663,1.20688,0.82342,0.66101,0.71093,0.46966,1.21711,1.26408,1.3161,0.000594286,0.000594286,0.000594286
67,2095.82,0.87745,0.97982,1.16632,0.78105,0.65963,0.71867,0.48458,1.18787,1.32873,1.30442,0.000577782,0.000577782,0.000577782
68,2126.1,0.88286,0.92258,1.16615,0.8262,0.67603,0.72302,0.484,1.20229,1.24023,1.33017,0.000561279,0.000561279,0.000561279
69,2156.4,0.91143,0.9624,1.21619,0.77697,0.65573,0.68392,0.45972,1.21695,1.22895,1.34947,0.000544776,0.000544776,0.000544776
70,2186.7,0.9242,0.93685,1.20637,0.81074,0.6517,0.70175,0.47865,1.17868,1.32185,1.30943,0.000528272,0.000528272,0.000528272
71,2217.03,0.93221,0.94116,1.19384,0.76231,0.68569,0.71324,0.4793,1.20077,1.28408,1.32303,0.000511769,0.000511769,0.000511769
72,2247.35,0.85002,0.88874,1.12537,0.74614,0.65861,0.71197,0.48101,1.1886,1.21873,1.30271,0.000495266,0.000495266,0.000495266
73,2277.72,0.91763,0.91788,1.20781,0.72294,0.65507,0.69572,0.46871,1.16962,1.18029,1.30554,0.000478762,0.000478762,0.000478762
