epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,58.2731,1.29532,1.01161,1.27315,0.76312,0.63716,0.68905,0.34366,1.72564,1.15237,1.58826,0.00998066,0.00332689,0.00998066,0.00332689,0.00998066,0.00332689,0.00998066,0.00332689
2,113.121,1.33803,1.02459,1.28692,0.7466,0.62842,0.68159,0.33293,1.73333,1.18732,1.58006,0.0197828,0.00659428,0.0197828,0.00659428,0.0197828,0.00659428,0.0197828,0.00659428
3,167.302,1.42779,1.14496,1.35112,0.71314,0.5978,0.65333,0.31351,1.78093,1.2888,1.59704,0.029387,0.00979568,0.029387,0.00979568,0.029387,0.00979568,0.029387,0.00979568
4,221.121,1.52848,1.27801,1.41162,0.67213,0.59637,0.62521,0.29004,1.83943,1.36678,1.61982,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,274.82,1.54229,1.31881,1.42835,0.71931,0.59313,0.63659,0.30162,1.80956,1.33589,1.6337,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,328.948,1.54964,1.31364,1.42805,0.70166,0.58556,0.63191,0.29456,1.82001,1.37968,1.62001,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,383.647,1.54577,1.29809,1.42797,0.69354,0.59891,0.64281,0.30545,1.77694,1.3558,1.59776,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,438.167,1.54636,1.29678,1.42803,0.72689,0.60199,0.65365,0.31282,1.7531,1.33504,1.57323,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,492.557,1.54109,1.29792,1.42461,0.72023,0.59516,0.65302,0.30503,1.81486,1.32093,1.62442,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,547.133,1.52579,1.29038,1.41939,0.67619,0.59886,0.63481,0.29707,1.79089,1.35097,1.59956,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,601.422,1.52132,1.27065,1.40773,0.6914,0.62471,0.65908,0.32012,1.76763,1.28514,1.58326,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,655.672,1.5233,1.26537,1.40632,0.72036,0.59653,0.65537,0.3148,1.76966,1.31437,1.60409,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,709.995,1.51473,1.26351,1.41182,0.72903,0.59649,0.65523,0.31452,1.78679,1.2999,1.58818,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,764.407,1.50726,1.2486,1.40447,0.70759,0.61367,0.66425,0.32093,1.76079,1.29544,1.58294,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,818.812,1.50249,1.25053,1.40548,0.7166,0.61613,0.67205,0.3248,1.7608,1.28243,1.59032,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,873.262,1.49355,1.22476,1.39238,0.71511,0.61881,0.66825,0.31636,1.78099,1.27857,1.59002,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,927.903,1.47857,1.21242,1.38657,0.70357,0.643,0.67805,0.32543,1.76952,1.25261,1.59763,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,982.32,1.48208,1.2141,1.38476,0.72238,0.6325,0.6798,0.32498,1.74174,1.25756,1.56799,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1036.67,1.47307,1.19162,1.37924,0.70864,0.62286,0.67595,0.33458,1.74826,1.23824,1.57139,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1091.13,1.45744,1.19363,1.37264,0.73299,0.62297,0.68882,0.32811,1.74601,1.26525,1.5785,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1145.54,1.4524,1.18111,1.37037,0.73032,0.62977,0.68663,0.33752,1.72942,1.21528,1.56142,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1199.99,1.4549,1.17684,1.36783,0.74229,0.63068,0.6917,0.33575,1.74173,1.19592,1.5648,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1254.5,1.45548,1.16925,1.36935,0.73339,0.63163,0.69539,0.33846,1.74334,1.23206,1.56126,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1308.84,1.44916,1.15656,1.35557,0.72771,0.63735,0.69755,0.34198,1.71604,1.19649,1.53962,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1363.07,1.44165,1.14262,1.35248,0.73513,0.62407,0.68635,0.33437,1.76411,1.22584,1.56827,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
